,a_1,b_1,c_1,d_1,a_2,b_2,c_2,d_2,hidden_dim,ratio_rewritings_multiplication,ratio_nnz_mn
3931,1,512,3584,8,896,32,16,1,28672,0.005005411255411255,0.2578125
186173,1,16,112,256,28,1024,512,1,28672,0.005005411255411255,0.2578125
26147,1,512,3584,8,1024,28,14,1,28672,0.005024443237370994,0.2568359375
8309,1,512,3584,8,1792,16,8,1,28672,0.005082417582417583,0.25390625
137792,1,8,56,512,28,1024,512,1,28672,0.005082417582417583,0.25390625
27413,1,512,3584,8,2048,14,7,1,28672,0.005092210294522433,0.25341796875
11236,1,64,468,64,32,936,448,1,29952,0.005108173076923077,0.2611607142857143
180662,1,256,1869,16,56,534,256,1,29904,0.005110102327447833,0.2607421875
139630,1,64,467,64,32,934,448,1,29888,0.005110746788008566,0.26060267857142855
7492,1,64,466,64,32,932,448,1,29824,0.005113331545064378,0.26004464285714285
190218,1,256,1862,16,56,532,256,1,29792,0.005114628088077337,0.259765625
76691,1,64,465,64,32,930,448,1,29760,0.005115927419354838,0.25948660714285715
172182,1,64,464,64,32,928,448,1,29696,0.0051185344827586205,0.25892857142857145
183539,1,256,1855,16,56,530,256,1,29680,0.0051191880053908356,0.2587890625
143367,1,64,463,64,32,926,448,1,29632,0.005121152807775378,0.2583705357142857
26736,1,512,3584,8,3584,8,4,1,28672,0.0051218161683277965,0.251953125
29313,1,4,28,1024,28,1024,512,1,28672,0.0051218161683277965,0.251953125
51306,1,64,462,64,32,924,448,1,29568,0.005123782467532468,0.2578125
153556,1,256,1848,16,56,528,256,1,29568,0.005123782467532468,0.2578125
180456,1,64,461,64,32,922,448,1,29504,0.005126423535791757,0.2572544642857143
156524,1,256,1841,16,56,526,256,1,29456,0.005128411868549701,0.2568359375
99519,1,64,460,64,32,920,448,1,29440,0.005129076086956522,0.25669642857142855
45501,1,64,459,64,32,918,448,1,29376,0.005131740196078431,0.25613839285714285
47738,1,256,1834,16,56,524,256,1,29344,0.005133076608505998,0.255859375
172924,1,64,458,64,32,916,448,1,29312,0.005134415938864629,0.25558035714285715
86380,1,64,457,64,32,914,448,1,29248,0.005137103391684901,0.25502232142857145
187546,1,256,1827,16,56,522,256,1,29232,0.005137777093596059,0.2548828125
16905,1,64,456,64,32,912,448,1,29184,0.005139802631578948,0.2544642857142857
147231,1,512,3584,8,7168,4,2,1,28672,0.005141745414118955,0.2509765625
152956,1,2,14,2048,28,1024,512,1,28672,0.005141745414118955,0.2509765625
92861,1,256,1820,16,56,520,256,1,29120,0.005142513736263736,0.25390625
79334,1,64,455,64,32,910,448,1,29120,0.005142513736263736,0.25390625
28905,1,64,454,64,32,908,448,1,29056,0.005145236784140969,0.2533482142857143
106923,1,256,1813,16,56,518,256,1,29008,0.00514728695532267,0.2529296875
82502,1,64,453,64,32,906,448,1,28992,0.005147971854304636,0.25279017857142855
96827,1,64,452,64,32,904,448,1,28928,0.005150719026548673,0.25223214285714285
77840,1,512,3584,8,14336,2,1,1,28672,0.005151768309663046,0.25048828125
77956,1,1,7,4096,28,1024,512,1,28672,0.005151768309663046,0.25048828125
165555,1,256,1806,16,56,516,256,1,28896,0.005152097176079735,0.251953125
150306,1,64,451,64,32,902,448,1,28864,0.005153478381374723,0.25167410714285715
169073,1,64,450,64,32,900,448,1,28800,0.00515625,0.25111607142857145
155211,1,256,1799,16,56,514,256,1,28784,0.005156944830461367,0.2509765625
131487,1,64,449,64,32,898,448,1,28736,0.005159033964365256,0.2505580357142857
49467,1,256,1792,16,56,512,256,1,28672,0.005161830357142857,0.25
145923,1,64,448,64,32,896,448,1,28672,0.005161830357142857,0.25
