,a_1,b_1,c_1,d_1,a_2,b_2,c_2,d_2,ratio_1,ratio_2,ratio
65,1,768,192,2,2,192,192,1,1.0304914216115726,0.8203195785492476,0.9868112825438772
67,1,768,192,2,4,96,96,1,1.0304914216115726,0.6861901604181957,0.9725257832920243
68,1,768,192,2,6,64,64,1,1.0304914216115726,0.4181864395276206,0.9327269396548297
69,1,768,192,2,8,48,48,1,1.0304914216115726,0.727482681300164,0.9761159405724603
