,a_1,b_1,c_1,d_1,a_2,b_2,c_2,d_2,ratio_1,ratio_2,ratio
2,1,1024,1024,1,16,64,256,1,1.086352327334688,0.6080557360948029,0.9279345764271212
5,1,64,64,16,16,64,256,1,1.0489300705437632,0.6080557360948029,0.7546789322680321
7,1,64,256,16,8,512,512,1,0.6689720247866994,1.097227437376132,0.9723924778377026
8,1,64,256,16,16,256,256,1,0.6689720247866994,1.1197229680707013,0.9183852579006742
9,1,64,256,16,32,128,128,1,0.6689720247866994,1.1957021006901125,0.8791922235649314
10,1,64,256,16,64,64,64,1,0.6689720247866994,0.6138929137598353,0.6468094584560666
13,1,128,128,8,16,64,256,1,1.4255137967304965,0.6080557360948029,0.8795845543736638
18,1,128,512,8,64,64,64,1,1.0705836627395717,0.6138929137598353,0.8870223856190675
21,1,256,256,4,16,64,256,1,1.2467365795568566,0.6080557360948029,0.8802013910930466
29,1,512,512,2,16,64,256,1,1.0772454393911775,0.6080557360948029,0.8672617476751272
