,a_1,b_1,c_1,d_1,a_2,b_2,c_2,d_2,ratio_1,ratio_2,ratio
1,1,768,768,1,4,192,768,1,1.101748837574582,0.8609890138928797,0.9648309252601724
4,1,768,768,1,12,64,256,1,1.101748837574582,0.6155143511417667,0.9069322386479657
5,1,768,768,1,16,48,192,1,1.101748837574582,0.7372369117960306,0.9552893695815858
7,1,48,48,16,4,192,768,1,1.4030517229373483,0.8609890138928797,0.9733428253266998
10,1,48,48,16,12,64,256,1,1.4030517229373483,0.6155143511417667,0.88346277702512
11,1,48,48,16,16,48,192,1,1.4030517229373483,0.7372369117960306,0.9630671325191724
20,1,48,192,16,48,64,64,1,1.1808446288455385,0.6292897553851671,0.9551050816301713
23,1,64,64,12,4,192,768,1,1.136851173818634,0.8609890138928797,0.9164256172768805
26,1,64,64,12,12,64,256,1,1.136851173818634,0.6155143511417667,0.788372196207022
27,1,64,64,12,16,48,192,1,1.136851173818634,0.7372369117960306,0.8693185700040214
30,1,64,256,12,6,512,512,1,0.7402798656368769,1.099241518820654,0.9965669202388105
31,1,64,256,12,8,384,384,1,0.7402798656368769,1.1068676897005139,0.9803056283286664
32,1,64,256,12,12,256,256,1,0.7402798656368769,1.1358413063015529,0.962144464124718
33,1,64,256,12,16,192,192,1,0.7402798656368769,0.859680438426126,0.8070464392285964
34,1,64,256,12,24,128,128,1,0.7402798656368769,1.1883040127772857,0.9226367792222299
35,1,64,256,12,32,96,96,1,0.7402798656368769,1.1225544141923252,0.8952996572254055
36,1,64,256,12,48,64,64,1,0.7402798656368769,0.6292897553851671,0.6944988985389496
37,1,64,256,12,64,48,48,1,0.7402798656368769,1.160357385452087,0.9193232072083746
39,1,96,96,8,4,192,768,1,1.3898589449239873,0.8609890138928797,0.9671812425716607
42,1,96,96,8,12,64,256,1,1.3898589449239873,0.6155143511417667,0.8720828119365652
43,1,96,96,8,16,48,192,1,1.3898589449239873,0.7372369117960306,0.9527933994395715
55,1,128,128,6,4,192,768,1,1.2870499020085258,0.8609890138928797,0.9460858046616242
58,1,128,128,6,12,64,256,1,1.2870499020085258,0.6155143511417667,0.8370333096885357
59,1,128,128,6,16,48,192,1,1.2870499020085258,0.7372369117960306,0.9180310130536066
65,1,128,512,6,16,192,192,1,1.05746797599433,0.859680438426126,0.9465966647803529
68,1,128,512,6,48,64,64,1,1.05746797599433,0.6292897553851671,0.8802741010746964
71,1,192,192,4,4,192,768,1,0.9805831198661193,0.8609890138928797,0.8934303583426019
74,1,192,192,4,12,64,256,1,0.9805831198661193,0.6155143511417667,0.7700679109192066
75,1,192,192,4,16,48,192,1,0.9805831198661193,0.7372369117960306,0.8399787920037955
79,1,192,768,4,8,384,384,1,0.8586230267918178,1.1068676897005139,0.993596734560803
80,1,192,768,4,12,256,256,1,0.8586230267918178,1.1358413063015529,0.9820490683677139
81,1,192,768,4,16,192,192,1,0.8586230267918178,0.859680438426126,0.8590920132258746
82,1,192,768,4,24,128,128,1,0.8586230267918178,1.1883040127772857,0.9579642418018126
83,1,192,768,4,32,96,96,1,0.8586230267918178,1.1225544141923252,0.9378059205297574
84,1,192,768,4,48,64,64,1,0.8586230267918178,0.6292897553851671,0.7884256463293885
85,1,192,768,4,64,48,48,1,0.8586230267918178,1.160357385452087,0.954636808581357
87,1,256,256,3,4,192,768,1,1.1581360420148812,0.8609890138928797,0.9416818527746236
90,1,256,256,3,12,64,256,1,1.1581360420148812,0.6155143511417667,0.8454344492698226
91,1,256,256,3,16,48,192,1,1.1581360420148812,0.7372369117960306,0.9150964489248941
103,1,384,384,2,4,192,768,1,1.1511997135499108,0.8609890138928797,0.9568609002656709
106,1,384,384,2,12,64,256,1,1.1511997135499108,0.6155143511417667,0.8796906654894251
107,1,384,384,2,16,48,192,1,1.1511997135499108,0.7372369117960306,0.9408974298308591
